HomeTeam,MatchesHome,GoalsHome,AVGHome,AwayTeam,MatchesAway,GoalsAway,AVGAway
TRAU,4,3,1.33,Churchill Brothers,6,2,3.0
Rahmatgonj MFS,0,0,nan,Bashundhara Kings,0,0,nan
Abahani Limited,0,0,nan,Mohammedan Dhaka,0,0,nan
Tupapa Maraerenga,0,0,nan,Solomon Warriors FC,0,0,nan
AS Magenta,0,0,nan,Tiare Tahiti,0,0,nan
Northern Ireland,1,4,0.25,Iceland,10,5,2.0
France,26,9,2.89,Canada,4,6,0.67
Netherlands,23,8,2.88,Brazil,14,8,1.75
Scotland,18,5,3.6,Ukraine,8,4,2.0
Colombia,1,3,0.33,Bolivia,2,3,0.67
